RMOB,MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Active Exceptions of 23 Rules in MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeStamp,5/17/2021 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Applied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Saudo Arabija,Ji Zan,Sa Bi Ya,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:36,,RDS28+01691T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926973,5622232404
Saudo Arabija,Ji Zan,Sa Bi Ya,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:36,,RDS26-20942F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926976,5622232404
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:35,,RDS28-09761F,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926854,633191572
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:35,,RDS28+09762T,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926853,633191572
Saudo Arabija,Riad,Riad,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:34,,RDS28-06814T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927214,571436765
Saudo Arabija,Riad,Riad,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:34,,RDS28+06815F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927213,571436765
Saudo Arabija,Riad,Riad,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:34,,RDS26-05090T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927212,571436765
Saudo Arabija,Riad,Riad,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:34,,RDS26+05091F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927211,571436765
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916613,2282478191
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916612,571169996
